zipcode,city,state,country,timezone
601,Adjuntas,PR,US,America/Puerto_Rico
602,Aguada,PR,US,America/Puerto_Rico
603,Aguadilla,PR,US,America/Puerto_Rico
606,Maricao,PR,US,America/Puerto_Rico
610,Anasco,PR,US,America/Puerto_Rico
611,Angeles,PR,US,America/Puerto_Rico
612,Arecibo,PR,US,America/Puerto_Rico
616,Bajadero,PR,US,America/Puerto_Rico
617,Barceloneta,PR,US,America/Puerto_Rico
622,Boqueron,PR,US,America/Puerto_Rico
623,Cabo Rojo,PR,US,America/Puerto_Rico
624,Penuelas,PR,US,America/Puerto_Rico
627,Camuy,PR,US,America/Puerto_Rico
631,Castaner,PR,US,America/Puerto_Rico
637,Sabana Grande,PR,US,America/Puerto_Rico
638,Ciales,PR,US,America/Puerto_Rico
641,Utuado,PR,US,America/Puerto_Rico
646,Dorado,PR,US,America/Puerto_Rico
647,Ensenada,PR,US,America/Puerto_Rico
650,Florida,PR,US,America/Puerto_Rico
652,Garrochales,PR,US,America/Puerto_Rico
653,Guanica,PR,US,America/Puerto_Rico
656,Guayanilla,PR,US,America/Puerto_Rico
659,Hatillo,PR,US,America/Puerto_Rico
660,Hormigueros,PR,US,America/Puerto_Rico
662,Isabela,PR,US,America/Puerto_Rico
664,Jayuya,PR,US,America/Puerto_Rico
667,Lajas,PR,US,America/Puerto_Rico
669,Lares,PR,US,America/Puerto_Rico
670,Las Marias,PR,US,America/Puerto_Rico
674,Manati,PR,US,America/Puerto_Rico
676,Moca,PR,US,America/Puerto_Rico
677,Rincon,PR,US,America/Puerto_Rico
678,Quebradillas,PR,US,America/Puerto_Rico
680,Mayaguez,PR,US,America/Puerto_Rico
682,Mayaguez,PR,US,America/Puerto_Rico
683,San German,PR,US,America/Puerto_Rico
685,San Sebastian,PR,US,America/Puerto_Rico
687,Morovis,PR,US,America/Puerto_Rico
688,Sabana Hoyos,PR,US,America/Puerto_Rico
690,San Antonio,PR,US,America/Puerto_Rico
692,Vega Alta,PR,US,America/Puerto_Rico
693,Vega Baja,PR,US,America/Puerto_Rico
694,Vega Baja,PR,US,America/Puerto_Rico
698,Yauco,PR,US,America/Puerto_Rico
703,Aguas Buenas,PR,US,America/Puerto_Rico
704,Aguirre,PR,US,America/Puerto_Rico
705,Aibonito,PR,US,America/Puerto_Rico
707,Maunabo,PR,US,America/Puerto_Rico
714,Arroyo,PR,US,America/Puerto_Rico
715,Mercedita,PR,US,America/Puerto_Rico
716,Ponce,PR,US,America/Puerto_Rico
717,Ponce,PR,US,America/Puerto_Rico
718,Naguabo,PR,US,America/Puerto_Rico
719,Naranjito,PR,US,America/Puerto_Rico
720,Orocovis,PR,US,America/Puerto_Rico
723,Patillas,PR,US,America/Puerto_Rico
725,Caguas,PR,US,America/Puerto_Rico
727,Caguas,PR,US,America/Puerto_Rico
728,Ponce,PR,US,America/Puerto_Rico
729,Canovanas,PR,US,America/Puerto_Rico
730,Ponce,PR,US,America/Puerto_Rico
731,Ponce,PR,US,America/Puerto_Rico
735,Ceiba,PR,US,America/Puerto_Rico
736,Cayey,PR,US,America/Puerto_Rico
738,Fajardo,PR,US,America/Puerto_Rico
739,Cidra,PR,US,America/Puerto_Rico
740,Puerto Real,PR,US,America/Puerto_Rico
741,Punta Santiago,PR,US,America/Puerto_Rico
745,Rio Grande,PR,US,America/Puerto_Rico
751,Salinas,PR,US,America/Puerto_Rico
754,San Lorenzo,PR,US,America/Puerto_Rico
757,Santa Isabel,PR,US,America/Puerto_Rico
765,Vieques,PR,US,America/Puerto_Rico
766,Villalba,PR,US,America/Puerto_Rico
767,Yabucoa,PR,US,America/Puerto_Rico
769,Coamo,PR,US,America/Puerto_Rico
771,Las Piedras,PR,US,America/Puerto_Rico
772,Loiza,PR,US,America/Puerto_Rico
773,Luquillo,PR,US,America/Puerto_Rico
775,Culebra,PR,US,America/Puerto_Rico
777,Juncos,PR,US,America/Puerto_Rico
778,Gurabo,PR,US,America/Puerto_Rico
780,Coto Laurel,PR,US,America/Puerto_Rico
782,Comerio,PR,US,America/Puerto_Rico
783,Corozal,PR,US,America/Puerto_Rico
784,Guayama,PR,US,America/Puerto_Rico
786,La Plata,PR,US,America/Puerto_Rico
791,Humacao,PR,US,America/Puerto_Rico
794,Barranquitas,PR,US,America/Puerto_Rico
795,Juana Diaz,PR,US,America/Puerto_Rico
802,St Thomas,VI,US,America/St_Thomas
820,Christiansted,VI,US,America/St_Thomas
830,St John,VI,US,America/St_Thomas
840,Frederiksted,VI,US,America/St_Thomas
850,Kingshill,VI,US,America/St_Thomas
851,Kingshill,VI,US,America/St_Thomas
901,San Juan,PR,US,America/Puerto_Rico
906,San Juan,PR,US,America/Puerto_Rico
907,San Juan,PR,US,America/Puerto_Rico
909,San Juan,PR,US,America/Puerto_Rico
911,San Juan,PR,US,America/Puerto_Rico
912,San Juan,PR,US,America/Puerto_Rico
913,San Juan,PR,US,America/Puerto_Rico
915,San Juan,PR,US,America/Puerto_Rico
917,San Juan,PR,US,America/Puerto_Rico
918,San Juan,PR,US,America/Puerto_Rico
920,San Juan,PR,US,America/Puerto_Rico
921,San Juan,PR,US,America/Puerto_Rico
923,San Juan,PR,US,America/Puerto_Rico
924,San Juan,PR,US,America/Puerto_Rico
925,San Juan,PR,US,America/Puerto_Rico
926,San Juan,PR,US,America/Puerto_Rico
927,San Juan,PR,US,America/Puerto_Rico
934,Fort Buchanan,PR,US,America/Puerto_Rico
